Property_ID,Location,Area_sqft,Bedrooms,Bathrooms,Age,Parking,Furnished,Property_Type,Price,Price_per_sqft,Total_Rooms,Market_Segment,Latitude,Longitude
1,1,900,3,3,1,0,0,0,8300000,9222.222222222223,6,2,12.993635029711841,80.10785729642168
2,0,917,2,2,2,1,1,2,8126500,8862.050163576881,4,2,13.137678576602479,80.25910260281594
3,3,934,3,3,3,1,2,1,8453000,9050.32119914347,6,2,13.082998485452851,80.17858899526908
4,2,951,3,3,4,0,0,0,8529500,8968.980021030495,6,2,13.04966462104926,80.22714267279117
5,4,968,2,2,5,1,1,2,8356000,8632.231404958678,4,2,12.93900466011061,80.32689161848151
6,1,985,2,2,6,1,2,1,8432500,8560.913705583756,4,2,12.93899863008405,80.16232305728721
7,0,1002,3,3,7,0,0,0,8759000,8741.516966067864,6,2,12.91452090304205,80.2025957307589
8,3,1019,4,4,8,1,1,2,9085500,8916.094210009813,8,2,13.116544036443734,80.28888778463576
9,2,1036,2,2,9,1,2,1,8662000,8361.003861003861,4,2,13.050278752935803,80.1571995413729
10,4,1053,2,2,10,0,0,0,8738500,8298.670465337133,4,2,13.077018144449012,80.11924497745719
11,1,1070,3,3,1,1,1,2,9065000,8471.96261682243,6,2,12.905146123573951,80.17243786322844
12,0,1087,3,3,2,1,2,1,9141500,8409.84360625575,6,2,13.1424774630405,80.1403053218135
13,3,1104,2,2,3,0,0,0,8968000,8123.188405797101,4,2,13.108110660200106,80.33242441308563
14,2,1121,2,2,4,1,1,2,9044500,8068.242640499554,4,2,12.95308477766957,80.3020300948911
15,4,1138,4,4,5,1,2,1,9621000,8454.305799648506,8,2,12.945456241801775,80.2583509391276
16,1,1155,3,3,6,0,0,0,9447500,8179.653679653679,6,2,12.945851127463358,80.31786514754693
17,0,1172,2,2,7,1,1,2,9274000,7912.96928327645,4,2,12.976060560739885,80.30091801922477
18,3,1189,2,2,8,1,2,1,9350500,7864.1715727502105,4,2,13.03118910790806,80.1466425147215
19,2,1206,3,3,9,0,0,0,9677000,8024.046434494196,6,2,13.00798625466053,80.32313974962248
20,4,1223,3,3,10,1,1,2,9753500,7975.061324611611,6,0,12.97280728504951,80.23483556047891
21,1,1240,2,2,1,1,2,1,9580000,7725.806451612903,4,2,13.052963223680596,80.301860038791
22,0,1257,3,3,2,0,0,0,9906500,7881.066030230708,6,0,12.93487346516301,80.32402282498087
23,3,1274,3,3,3,1,1,2,9983000,7835.949764521193,6,0,12.973036162133806,80.17950086874296
24,2,1291,3,3,4,1,2,1,10059500,7792.021688613478,6,0,12.991590460823423,80.12751298113191
25,4,1308,2,2,5,0,0,0,9886000,7558.1039755351685,4,0,13.01401749605426,80.15698379063548
26,1,1325,2,2,6,1,1,2,9962500,7518.867924528302,4,0,13.096293990348254,80.20677694715656
27,0,1342,3,3,7,1,2,1,10289000,7666.915052160954,6,0,12.94991844553959,80.30450369148062
28,3,1359,3,3,8,0,0,0,10365500,7627.299484915379,6,0,13.028558609603403,80.31518264581408
29,2,1376,3,3,9,1,1,2,10442000,7588.662790697675,6,0,13.04810364221551,80.1017380326328
30,4,1393,2,2,10,1,2,1,10268500,7371.500358937545,4,0,12.91161260318,80.22768682564438
31,1,1410,3,3,1,0,0,0,10595000,7514.184397163121,6,0,13.05188621297536,80.2043527507872
32,0,1427,3,3,2,1,1,2,10671500,7478.276103714085,6,0,12.942631030921824,80.15552695261768
33,3,1444,2,2,3,1,2,1,10498000,7270.083102493075,4,0,12.91626289824632,80.12996634183341
34,2,1461,2,2,4,0,0,0,10574500,7237.850787132102,4,0,13.137221384313333,80.1844037928509
35,4,1478,3,3,5,1,1,2,10901000,7375.507442489851,6,0,13.141408008268641,80.33572742597812
36,1,1495,4,4,6,1,2,1,11227500,7510.033444816054,8,0,13.102099337029115,80.18080073300519
37,0,1512,2,2,7,0,0,0,10804000,7145.5026455026455,4,0,12.976153442293343,80.22969765543584
38,3,1529,2,2,8,1,1,2,10880500,7116.088947024199,4,0,12.924418028501597,80.2757547397238
39,2,1546,3,3,9,1,2,1,11207000,7249.029754204398,6,0,13.07105825662804,80.19090740059482
40,4,1563,3,3,10,0,0,0,11283500,7219.129878438899,6,0,13.010038123434901,80.34294552068023
41,1,1580,2,2,1,1,1,2,11110000,7031.645569620253,4,0,12.930509558711195,80.34061182373553
42,0,1597,2,2,2,1,2,1,11186500,7004.696305572949,4,0,13.023794227527818,80.16294557395634
43,3,1614,4,4,3,0,0,0,11763000,7288.1040892193305,8,3,12.908597130278805,80.2243121264731
44,2,1631,3,3,4,1,1,2,11589500,7105.763335377069,6,0,13.127330100519696,80.17521957745419
45,4,1648,2,2,5,1,2,1,11416000,6927.184466019417,4,0,12.964694995400004,80.17121012359436
46,1,1665,2,2,6,0,0,0,11492500,6902.402402402402,4,0,13.065630571088496,80.10922173683863
47,0,1682,3,3,7,1,1,2,11819000,7026.753864447087,6,3,12.977927769022353,80.25239108349497
48,3,1699,3,3,8,1,2,1,11895500,7001.471453796351,6,3,13.030017005294454,80.2256697558072
49,2,1716,2,2,9,0,0,0,11722000,6831.002331002331,4,3,13.03667756983582,80.11286968781249
50,4,1733,3,3,10,1,1,2,12048500,6952.394691286786,6,3,12.946213613881381,80.16966161605914
51,1,1750,3,3,1,1,2,1,12125000,6928.571428571428,6,3,13.14239615694114,80.32706647149166
52,0,1767,3,3,2,0,0,0,12201500,6905.206564799095,6,3,13.093783205840278,80.15989047266673
53,3,1784,2,2,3,1,1,2,12028000,6742.152466367713,4,3,13.134874735391048,80.1362237180228
54,2,1801,2,2,4,1,2,1,12104500,6720.988339811216,4,3,13.123706837606912,80.22236319006939
55,4,1818,3,3,5,0,0,0,12431000,6837.7337733773375,6,3,13.049474994702772,80.34641261352765
56,1,1835,3,3,6,1,1,2,12507500,6816.076294277929,6,3,13.13046855875578,80.16051381787787
57,0,1852,3,3,7,1,2,1,12584000,6794.816414686825,6,3,12.92212312551298,80.26803388685147
58,3,1869,2,2,8,0,0,0,12410500,6640.181915462815,4,3,12.948995715604786,80.29040490383217
59,2,1886,3,3,9,1,1,2,12737000,6753.446447507953,6,3,12.911306822227635,80.15940938599809
60,4,1903,3,3,10,1,2,1,12813500,6733.315817130846,6,3,12.981332582690817,80.28205408715296
61,1,1920,2,2,1,0,0,0,12640000,6583.333333333333,4,3,12.997169322422371,80.1919457831798
62,0,1937,2,2,2,1,1,2,12716500,6565.0490449148165,4,3,12.967837257943474,80.25807645764839
63,3,1954,3,3,3,1,2,1,13043000,6675.025588536336,6,3,13.107184377287982,80.25838242769022
64,2,1971,4,4,4,0,0,0,13369500,6783.1050228310505,8,3,12.989188331673398,80.23394367101868
65,4,1988,2,2,5,1,1,2,12946000,6512.072434607646,4,3,12.970233627421846,80.1225724425136
66,1,2005,2,2,6,1,2,1,13022500,6495.01246882793,4,3,13.035674020789562,80.3088256238973
67,0,2022,3,3,7,0,0,0,13349000,6601.879327398615,6,3,12.93523105624369,80.18019501624293
68,3,2039,3,3,8,1,1,2,13425500,6584.355076017656,6,3,13.10054924518851,80.14662962759996
69,2,2056,2,2,9,1,2,1,13252000,6445.525291828793,4,3,12.918637660919943,80.11019378538869
70,4,2073,2,2,10,0,0,0,13328500,6429.570670525808,4,3,13.14672173415013,80.24772323579705
71,1,2090,4,4,1,1,1,2,13905000,6653.11004784689,8,1,13.093061192324164,80.26939109046056
72,0,2107,3,3,2,1,2,1,13731500,6517.085904129093,6,1,12.949678920383544,80.10414695723196
73,3,2124,2,2,3,0,0,0,13558000,6383.239171374765,4,3,12.901380529280901,80.22802326457482
74,2,2141,2,2,4,1,1,2,13634500,6368.285847734704,4,1,13.103865357113708,80.15662394379947
75,4,2158,3,3,5,1,2,1,13961000,6469.416126042632,6,1,13.076714335961904,80.26129319760236
76,1,2175,3,3,6,0,0,0,14037500,6454.022988505747,6,1,13.082251792010247,80.14359160725124
77,0,2192,2,2,7,1,1,2,13864000,6324.8175182481755,4,1,13.092817586671487,80.27273443452562
78,3,2209,3,3,8,1,2,1,14190500,6423.947487550928,6,1,12.918511162933523,80.19668383657513
79,2,2226,3,3,9,0,0,0,14267000,6409.254267744834,6,1,12.989616432136069,80.33418249718417
80,4,2243,3,3,10,1,1,2,14343500,6394.7837717342845,6,1,12.928967264881283,80.13438023603649
81,1,2260,2,2,1,1,2,1,14170000,6269.911504424779,4,1,13.115775856468899,80.18526658776256
82,0,2277,2,2,2,0,0,0,14246500,6256.697408871322,4,1,13.05582453170689,80.12836838031014
83,3,2294,3,3,3,1,1,2,14573000,6352.659110723627,6,1,12.982724506213163,80.33117340456964
84,2,2311,3,3,4,1,2,1,14649500,6339.030722630896,6,1,12.915889587571506,80.31933483834524
85,4,2328,3,3,5,0,0,0,14726000,6325.601374570447,6,1,12.977745580428916,80.16448540692879
86,1,2345,2,2,6,1,1,2,14552500,6205.756929637527,4,1,12.981295830506687,80.26499601150854
87,0,2362,3,3,7,1,2,1,14879000,6299.322607959357,6,1,13.082401544584517,80.3043055500503
88,3,2379,3,3,8,0,0,0,14955500,6286.464901218999,6,1,13.059389367838804,80.23880020289985
