Property_ID,Location,Area_sqft,Bedrooms,Bathrooms,Age,Parking,Furnished,Property_Type,Price
1,Chennai,900,3,3,1,No,No,Apartment,8300000
2,Bangalore,917,2,2,2,Yes,Semi,Villa,8126500
3,Hyderabad,934,3,3,3,Yes,Yes,Independent House,8453000
4,Coimbatore,951,3,3,4,No,No,Apartment,8529500
5,Madurai,968,2,2,5,Yes,Semi,Villa,8356000
6,Chennai,985,2,2,6,Yes,Yes,Independent House,8432500
7,Bangalore,1002,3,3,7,No,No,Apartment,8759000
8,Hyderabad,1019,4,4,8,Yes,Semi,Villa,9085500
9,Coimbatore,1036,2,2,9,Yes,Yes,Independent House,8662000
10,Madurai,1053,2,2,10,No,No,Apartment,8738500
11,Chennai,1070,3,3,1,Yes,Semi,Villa,9065000
12,Bangalore,1087,3,3,2,Yes,Yes,Independent House,9141500
13,Hyderabad,1104,2,2,3,No,No,Apartment,8968000
14,Coimbatore,1121,2,2,4,Yes,Semi,Villa,9044500
15,Madurai,1138,4,4,5,Yes,Yes,Independent House,9621000
16,Chennai,1155,3,3,6,No,No,Apartment,9447500
17,Bangalore,1172,2,2,7,Yes,Semi,Villa,9274000
18,Hyderabad,1189,2,2,8,Yes,Yes,Independent House,9350500
19,Coimbatore,1206,3,3,9,No,No,Apartment,9677000
20,Madurai,1223,3,3,10,Yes,Semi,Villa,9753500
21,Chennai,1240,2,2,1,Yes,Yes,Independent House,9580000
22,Bangalore,1257,3,3,2,No,No,Apartment,9906500
23,Hyderabad,1274,3,3,3,Yes,Semi,Villa,9983000
24,Coimbatore,1291,3,3,4,Yes,Yes,Independent House,10059500
25,Madurai,1308,2,2,5,No,No,Apartment,9886000
26,Chennai,1325,2,2,6,Yes,Semi,Villa,9962500
27,Bangalore,1342,3,3,7,Yes,Yes,Independent House,10289000
28,Hyderabad,1359,3,3,8,No,No,Apartment,10365500
29,Coimbatore,1376,3,3,9,Yes,Semi,Villa,10442000
30,Madurai,1393,2,2,10,Yes,Yes,Independent House,10268500
31,Chennai,1410,3,3,1,No,No,Apartment,10595000
32,Bangalore,1427,3,3,2,Yes,Semi,Villa,10671500
33,Hyderabad,1444,2,2,3,Yes,Yes,Independent House,10498000
34,Coimbatore,1461,2,2,4,No,No,Apartment,10574500
35,Madurai,1478,3,3,5,Yes,Semi,Villa,10901000
36,Chennai,1495,4,4,6,Yes,Yes,Independent House,11227500
37,Bangalore,1512,2,2,7,No,No,Apartment,10804000
38,Hyderabad,1529,2,2,8,Yes,Semi,Villa,10880500
39,Coimbatore,1546,3,3,9,Yes,Yes,Independent House,11207000
40,Madurai,1563,3,3,10,No,No,Apartment,11283500
41,Chennai,1580,2,2,1,Yes,Semi,Villa,11110000
42,Bangalore,1597,2,2,2,Yes,Yes,Independent House,11186500
43,Hyderabad,1614,4,4,3,No,No,Apartment,11763000
44,Coimbatore,1631,3,3,4,Yes,Semi,Villa,11589500
45,Madurai,1648,2,2,5,Yes,Yes,Independent House,11416000
46,Chennai,1665,2,2,6,No,No,Apartment,11492500
47,Bangalore,1682,3,3,7,Yes,Semi,Villa,11819000
48,Hyderabad,1699,3,3,8,Yes,Yes,Independent House,11895500
49,Coimbatore,1716,2,2,9,No,No,Apartment,11722000
50,Madurai,1733,3,3,10,Yes,Semi,Villa,12048500
51,Chennai,1750,3,3,1,Yes,Yes,Independent House,12125000
52,Bangalore,1767,3,3,2,No,No,Apartment,12201500
53,Hyderabad,1784,2,2,3,Yes,Semi,Villa,12028000
54,Coimbatore,1801,2,2,4,Yes,Yes,Independent House,12104500
55,Madurai,1818,3,3,5,No,No,Apartment,12431000
56,Chennai,1835,3,3,6,Yes,Semi,Villa,12507500
57,Bangalore,1852,3,3,7,Yes,Yes,Independent House,12584000
58,Hyderabad,1869,2,2,8,No,No,Apartment,12410500
59,Coimbatore,1886,3,3,9,Yes,Semi,Villa,12737000
60,Madurai,1903,3,3,10,Yes,Yes,Independent House,12813500
61,Chennai,1920,2,2,1,No,No,Apartment,12640000
62,Bangalore,1937,2,2,2,Yes,Semi,Villa,12716500
